"sku","quantity","threshold"
"KMEK1001",25,5
"KD5140",25,5
"KPNK1009",25,5
"KDQ386",25,5
"MTPP2207-D",25,5
"MTPP2208-D",25,5
"MTPP2209-D",25,5
"MTPP2210-D",25,5
"MTPP2211-D",25,5
"MTPP2212-D",25,5
"MTPP2301-D",25,5
"MTPP2302-D",25,5
"MTPP2303-D",25,5
"MTPP2304-D",25,5
"KD558",25,5
"KDVT1005",25,5
"KDVT1004",25,5
"KDQ021",25,5
"KDQ014",25,5
"KDQ020",25,5
"KDQ018",25,5
"KDQ016",25,5
"JS008",25,5
"KDQ017",25,5
"KDQ012",25,5
"KDQ010",25,5
"KDQ009",25,5
"KDQ015",25,5
"KDQ011",25,5
"KDQ006",25,5
"KDQ007",25,5
"KDQ008",25,5
"KDQ004",25,5
"KDQ001",25,5
"KDQ002",25,5
"KDQ005",25,5
"KDQ003",25,5
"JS007",25,5
"KDMR110",25,5
"KDMR111",25,5
"KDMR117",25,5
"KDMR112",25,5
"KDMR118",25,5
"KDMR113",25,5
"KDMR119",25,5
"KDMR114",25,5
"KDMR120",25,5
"KDMR115",25,5
"KDMR121",25,5
"KDMR116",25,5
"JS001",25,5
"KDBB002",25,5
"JS002",25,5
"KDBB001",25,5
"KDQ039",25,5
"KDQ035",25,5
"KDQ022",25,5
"KDQ032",25,5
"KDBB103",25,5
"JS009",25,5
"JS0010",25,5
"JS0011",25,5
"JS003",25,5
"JS010",25,5
"JS004",25,5
"JS006",25,5
"JS005",25,5
"KDQ013",25,5
"KDQ019",25,5
"KDQ034",25,5
"KDQ040",25,5
"KDQ042",25,5
"KDQ024",25,5
"KDQ023",25,5
"KDQ043",25,5
"KDQ045",25,5
"KDQ044",25,5
"KDQ047",25,5
"KDQ048",25,5
"KDQ046",25,5
"KDQ041",25,5
"KDQ038",25,5
"KDQ037",25,5
"KDQ031",25,5
"KDQ033",25,5
"KDQ030",25,5
"KDQ029",25,5
"KDQ028",25,5
"KDQ027",25,5
"KDQ026",25,5
"KDQ049",25,5
"KD515",25,5
"KDQ025",25,5
"KD514",25,5
"KDKB168",25,5
"KDTL100",25,5
"KDTL102",25,5
"KDTL101",25,5
"KD570",25,5
"KD516",25,5
"KD521",25,5
"KD523",25,5
"KD522",25,5
"KD526",25,5
"KD524",25,5
"KD525",25,5
"KD530",25,5
"KD508",25,5
"KD701",25,5
"KD517",25,5
"KD527",25,5
"KD507",25,5
"KD528",25,5
"KDST132",25,5
"KD529",25,5
"KDST129",25,5
"KD801",25,5
"KD542",25,5
"KDKB202",25,5
"KD548",25,5
"KD547",25,5
"KDEX101",25,5
"KDKB201",25,5
"KDKB128",25,5
"KD802",25,5
"KDKB205",25,5
"KD553",25,5
"KDKB133",25,5
"KDKB145",25,5
"KD804",25,5
"KDKB206",25,5
"KDKB149",25,5
"KDKB155",25,5
"KDEX103",25,5
"KD575",25,5
"KD571",25,5
"KD805",25,5
"KD568",25,5
"KDKB167",25,5
"KD900",25,5
"KDKB166",25,5
"KD581",25,5
"KD585",25,5
"KDMR504",25,5
"KD806",25,5
"KDMR503",25,5
"KDMR501",25,5
"KD576",25,5
"KD586",25,5
"KDKB170",25,5
"KD577",25,5
"KDKB172",25,5
"KD588",25,5
"KDKB215",25,5
"KDKB213",25,5
"KDKB178",25,5
"KDKB176",25,5
"KDKB214",25,5
"KDKB180",25,5
"KD201",25,5
"KDEX104",25,5
"KD587",25,5
"KDKB173",25,5
"KDKB186",25,5
"KD807",25,5
"KDKB179",25,5
"KDMR122",25,5
"KDKB194",25,5
"KDKB216",25,5
"KDKB224",25,5
"KDKB184",25,5
"KD808",25,5
"KDKB1210",25,5
"KD202",25,5
"KD594",25,5
"KDKB1214",25,5
"KDKB1204",25,5
"KDKB1212",25,5
"KD590",25,5
"KDKB1203",25,5
"KDKB1205",25,5
"KD593",25,5
"KDTL104",25,5
"KDKB1268",25,5
"KDKB1269",25,5
"KDKB1234",25,5
"KDKB1258",25,5
"KDKB1235",25,5
"KDKB1232",25,5
"KDKB1240",25,5
"KDKB1257",25,5
"KDKB1238",25,5
"KDKB1260",25,5
"KDKB1239",25,5
"KD5100",25,5
"KDKB1213",25,5
"KDKB1215",25,5
"KD5101",25,5
"KD595",25,5
"KD809",25,5
"KDKB1243",25,5
"KD598",25,5
"KDST100",25,5
"KDST101",25,5
"KDST102",25,5
"KDKB228",25,5
"KDST110",25,5
"KDST120",25,5
"KDST121",25,5
"KDST122",25,5
"KDST140",25,5
"KDST126",25,5
"KDST127",25,5
"KDKB1241",25,5
"KDST139",25,5
"KDST103",25,5
"KDST104",25,5
"KDST105",25,5
"KDST107",25,5
"KDST108",25,5
"KDST109",25,5
"KDST111",25,5
"KDST112",25,5
"KDST114",25,5
"KDST115",25,5
"KDST117",25,5
"KDST118",25,5
"KDST119",25,5
"KDST128",25,5
"KDST123",25,5
